Reference period,Geography,VALUE
2021-12-01 00:00:00,Canada,4859594
2021-12-01 00:00:00,Newfoundland and Labrador,52757
2021-12-01 00:00:00,Nova Scotia,0
2021-12-01 00:00:00,New Brunswick,257586
2021-12-01 00:00:00,Quebec,1881275
2021-12-01 00:00:00,Ontario,1442531
2021-12-01 00:00:00,Manitoba,32055
2021-12-01 00:00:00,Saskatchewan,11156
2021-12-01 00:00:00,Alberta,9051
2021-12-01 00:00:00,British Columbia,1173183
2022-01-01 00:00:00,Canada,5361389
2022-01-01 00:00:00,Newfoundland and Labrador,37285
2022-01-01 00:00:00,Nova Scotia,0
2022-01-01 00:00:00,New Brunswick,235469
2022-01-01 00:00:00,Quebec,2020197
2022-01-01 00:00:00,Ontario,1723776
2022-01-01 00:00:00,Manitoba,79657
2022-01-01 00:00:00,Saskatchewan,5124
2022-01-01 00:00:00,Alberta,6937
2022-01-01 00:00:00,British Columbia,1252944
2022-02-01 00:00:00,Canada,4377896
2022-02-01 00:00:00,Newfoundland and Labrador,77859
2022-02-01 00:00:00,Nova Scotia,0
2022-02-01 00:00:00,New Brunswick,218553
2022-02-01 00:00:00,Quebec,1683594
2022-02-01 00:00:00,Ontario,1236780
2022-02-01 00:00:00,Manitoba,178844
2022-02-01 00:00:00,Saskatchewan,4358
2022-02-01 00:00:00,Alberta,5143
2022-02-01 00:00:00,British Columbia,972765
2022-03-01 00:00:00,Canada,4289614
2022-03-01 00:00:00,Newfoundland and Labrador,151642
2022-03-01 00:00:00,Nova Scotia,0
2022-03-01 00:00:00,New Brunswick,217912
2022-03-01 00:00:00,Quebec,1819183
2022-03-01 00:00:00,Ontario,1057019
2022-03-01 00:00:00,Manitoba,367088
2022-03-01 00:00:00,Saskatchewan,1760
2022-03-01 00:00:00,Alberta,448
2022-03-01 00:00:00,British Columbia,674562
2022-04-01 00:00:00,Canada,4594621
2022-04-01 00:00:00,Newfoundland and Labrador,129880
2022-04-01 00:00:00,Nova Scotia,0
2022-04-01 00:00:00,New Brunswick,199152
2022-04-01 00:00:00,Quebec,1765120
2022-04-01 00:00:00,Ontario,1094780
2022-04-01 00:00:00,Manitoba,410222
2022-04-01 00:00:00,Saskatchewan,4297
2022-04-01 00:00:00,Alberta,7784
2022-04-01 00:00:00,British Columbia,983386
2022-05-01 00:00:00,Canada,5172216
2022-05-01 00:00:00,Newfoundland and Labrador,102382
2022-05-01 00:00:00,Nova Scotia,0
2022-05-01 00:00:00,New Brunswick,138824
2022-05-01 00:00:00,Quebec,1736278
2022-05-01 00:00:00,Ontario,1245762
2022-05-01 00:00:00,Manitoba,1172377
2022-05-01 00:00:00,Saskatchewan,9518
2022-05-01 00:00:00,Alberta,3741
2022-05-01 00:00:00,British Columbia,763334
2022-06-01 00:00:00,Canada,6446581
2022-06-01 00:00:00,Newfoundland and Labrador,156611
2022-06-01 00:00:00,Nova Scotia,0
2022-06-01 00:00:00,New Brunswick,152278
2022-06-01 00:00:00,Quebec,2009472
2022-06-01 00:00:00,Ontario,1400775
2022-06-01 00:00:00,Manitoba,1391185
2022-06-01 00:00:00,Saskatchewan,36136
2022-06-01 00:00:00,Alberta,1100
2022-06-01 00:00:00,British Columbia,1299024
2022-07-01 00:00:00,Canada,7482584
2022-07-01 00:00:00,Newfoundland and Labrador,152849
2022-07-01 00:00:00,Nova Scotia,0
2022-07-01 00:00:00,New Brunswick,159704
2022-07-01 00:00:00,Quebec,2415310
2022-07-01 00:00:00,Ontario,1719387
2022-07-01 00:00:00,Manitoba,1490331
2022-07-01 00:00:00,Saskatchewan,46930
2022-07-01 00:00:00,Alberta,2437
2022-07-01 00:00:00,British Columbia,1495636
2022-08-01 00:00:00,Canada,8010999
2022-08-01 00:00:00,Newfoundland and Labrador,155344
2022-08-01 00:00:00,Nova Scotia,0
2022-08-01 00:00:00,New Brunswick,168534
2022-08-01 00:00:00,Quebec,2578773
2022-08-01 00:00:00,Ontario,1661662
2022-08-01 00:00:00,Manitoba,1570081
2022-08-01 00:00:00,Saskatchewan,91182
2022-08-01 00:00:00,Alberta,38185
2022-08-01 00:00:00,British Columbia,1747238
2022-09-01 00:00:00,Canada,5936694
2022-09-01 00:00:00,Newfoundland and Labrador,147427
2022-09-01 00:00:00,Nova Scotia,0
2022-09-01 00:00:00,New Brunswick,169783
2022-09-01 00:00:00,Quebec,1793067
2022-09-01 00:00:00,Ontario,1237401
2022-09-01 00:00:00,Manitoba,1241915
2022-09-01 00:00:00,Saskatchewan,82690
2022-09-01 00:00:00,Alberta,70948
2022-09-01 00:00:00,British Columbia,1193463
2022-10-01 00:00:00,Canada,4611099
2022-10-01 00:00:00,Newfoundland and Labrador,128990
2022-10-01 00:00:00,Nova Scotia,0
2022-10-01 00:00:00,New Brunswick,186908
2022-10-01 00:00:00,Quebec,1596994
2022-10-01 00:00:00,Ontario,988911
2022-10-01 00:00:00,Manitoba,1134002
2022-10-01 00:00:00,Saskatchewan,91512
2022-10-01 00:00:00,Alberta,49821
2022-10-01 00:00:00,British Columbia,433961
2022-11-01 00:00:00,Canada,3962019
2022-11-01 00:00:00,Newfoundland and Labrador,126114
2022-11-01 00:00:00,Nova Scotia,45
2022-11-01 00:00:00,New Brunswick,237142
2022-11-01 00:00:00,Quebec,1308758
2022-11-01 00:00:00,Ontario,840841
2022-11-01 00:00:00,Manitoba,735560
2022-11-01 00:00:00,Saskatchewan,4345
2022-11-01 00:00:00,Alberta,41743
2022-11-01 00:00:00,British Columbia,667471
2022-12-01 00:00:00,Canada,5160477
2022-12-01 00:00:00,Newfoundland and Labrador,110120
2022-12-01 00:00:00,Nova Scotia,0
2022-12-01 00:00:00,New Brunswick,220259
2022-12-01 00:00:00,Quebec,1881178
2022-12-01 00:00:00,Ontario,1472930
2022-12-01 00:00:00,Manitoba,667526
2022-12-01 00:00:00,Saskatchewan,5037
2022-12-01 00:00:00,Alberta,170830
2022-12-01 00:00:00,British Columbia,632597
2023-01-01 00:00:00,Canada,5432144
2023-01-01 00:00:00,Newfoundland and Labrador,110233
2023-01-01 00:00:00,Nova Scotia,0
2023-01-01 00:00:00,New Brunswick,518312
2023-01-01 00:00:00,Quebec,1729230
2023-01-01 00:00:00,Ontario,1665656
2023-01-01 00:00:00,Manitoba,686867
2023-01-01 00:00:00,Saskatchewan,6996
2023-01-01 00:00:00,Alberta,100735
2023-01-01 00:00:00,British Columbia,614115
2023-02-01 00:00:00,Canada,4577861
2023-02-01 00:00:00,Newfoundland and Labrador,72663
2023-02-01 00:00:00,Nova Scotia,0
2023-02-01 00:00:00,New Brunswick,495109
2023-02-01 00:00:00,Quebec,1573739
2023-02-01 00:00:00,Ontario,1389842
2023-02-01 00:00:00,Manitoba,492235
2023-02-01 00:00:00,Saskatchewan,9777
2023-02-01 00:00:00,Alberta,39626
2023-02-01 00:00:00,British Columbia,504870
2023-03-01 00:00:00,Canada,4625317
2023-03-01 00:00:00,Newfoundland and Labrador,107729
2023-03-01 00:00:00,Nova Scotia,0
2023-03-01 00:00:00,New Brunswick,499939
2023-03-01 00:00:00,Quebec,1840377
2023-03-01 00:00:00,Ontario,1167352
2023-03-01 00:00:00,Manitoba,455401
2023-03-01 00:00:00,Saskatchewan,6269
2023-03-01 00:00:00,Alberta,40268
2023-03-01 00:00:00,British Columbia,507982
2023-04-01 00:00:00,Canada,4685892
2023-04-01 00:00:00,Newfoundland and Labrador,101178
2023-04-01 00:00:00,Nova Scotia,0
2023-04-01 00:00:00,New Brunswick,421360
2023-04-01 00:00:00,Quebec,1526482
2023-04-01 00:00:00,Ontario,1329827
2023-04-01 00:00:00,Manitoba,731175
2023-04-01 00:00:00,Saskatchewan,45037
2023-04-01 00:00:00,Alberta,210237
2023-04-01 00:00:00,British Columbia,320596
2023-05-01 00:00:00,Canada,4922765
2023-05-01 00:00:00,Newfoundland and Labrador,119950
2023-05-01 00:00:00,Nova Scotia,0
2023-05-01 00:00:00,New Brunswick,433255
2023-05-01 00:00:00,Quebec,960298
2023-05-01 00:00:00,Ontario,1557961
2023-05-01 00:00:00,Manitoba,1287071
2023-05-01 00:00:00,Saskatchewan,39670
2023-05-01 00:00:00,Alberta,3039
2023-05-01 00:00:00,British Columbia,521521
2023-06-01 00:00:00,Canada,4316769
2023-06-01 00:00:00,Newfoundland and Labrador,157174
2023-06-01 00:00:00,Nova Scotia,0
2023-06-01 00:00:00,New Brunswick,436488
2023-06-01 00:00:00,Quebec,850587
2023-06-01 00:00:00,Ontario,1356492
2023-06-01 00:00:00,Manitoba,799728
2023-06-01 00:00:00,Saskatchewan,30387
2023-06-01 00:00:00,Alberta,6388
2023-06-01 00:00:00,British Columbia,679525
2023-07-01 00:00:00,Canada,4323012
2023-07-01 00:00:00,Newfoundland and Labrador,173442
2023-07-01 00:00:00,Nova Scotia,180
2023-07-01 00:00:00,New Brunswick,430501
2023-07-01 00:00:00,Quebec,878493
2023-07-01 00:00:00,Ontario,1120461
2023-07-01 00:00:00,Manitoba,839101
2023-07-01 00:00:00,Saskatchewan,53439
2023-07-01 00:00:00,Alberta,35670
2023-07-01 00:00:00,British Columbia,791725
2023-08-01 00:00:00,Canada,3946775
2023-08-01 00:00:00,Newfoundland and Labrador,168961
2023-08-01 00:00:00,Nova Scotia,0
2023-08-01 00:00:00,New Brunswick,447216
2023-08-01 00:00:00,Quebec,811302
2023-08-01 00:00:00,Ontario,917680
2023-08-01 00:00:00,Manitoba,638114
2023-08-01 00:00:00,Saskatchewan,67434
2023-08-01 00:00:00,Alberta,19230
2023-08-01 00:00:00,British Columbia,876838
2023-09-01 00:00:00,Canada,3320778
2023-09-01 00:00:00,Newfoundland and Labrador,154030
2023-09-01 00:00:00,Nova Scotia,0
2023-09-01 00:00:00,New Brunswick,422783
2023-09-01 00:00:00,Quebec,771713
2023-09-01 00:00:00,Ontario,706411
2023-09-01 00:00:00,Manitoba,398271
2023-09-01 00:00:00,Saskatchewan,130649
2023-09-01 00:00:00,Alberta,3778
2023-09-01 00:00:00,British Columbia,733143
2023-10-01 00:00:00,Canada,2840467
2023-10-01 00:00:00,Newfoundland and Labrador,148821
2023-10-01 00:00:00,Nova Scotia,0
2023-10-01 00:00:00,New Brunswick,446749
2023-10-01 00:00:00,Quebec,645902
2023-10-01 00:00:00,Ontario,776211
2023-10-01 00:00:00,Manitoba,325344
2023-10-01 00:00:00,Saskatchewan,126398
2023-10-01 00:00:00,Alberta,69612
2023-10-01 00:00:00,British Columbia,301430
2023-11-01 00:00:00,Canada,3159526
2023-11-01 00:00:00,Newfoundland and Labrador,150348
2023-11-01 00:00:00,Nova Scotia,0
2023-11-01 00:00:00,New Brunswick,477217
2023-11-01 00:00:00,Quebec,762521
2023-11-01 00:00:00,Ontario,949235
2023-11-01 00:00:00,Manitoba,262136
2023-11-01 00:00:00,Saskatchewan,47506
2023-11-01 00:00:00,Alberta,85015
2023-11-01 00:00:00,British Columbia,425548
2023-12-01 00:00:00,Canada,3293735
2023-12-01 00:00:00,Newfoundland and Labrador,177614
2023-12-01 00:00:00,Nova Scotia,0
2023-12-01 00:00:00,New Brunswick,513967
2023-12-01 00:00:00,Quebec,967641
2023-12-01 00:00:00,Ontario,945284
2023-12-01 00:00:00,Manitoba,274703
2023-12-01 00:00:00,Saskatchewan,57534
2023-12-01 00:00:00,Alberta,9590
2023-12-01 00:00:00,British Columbia,347402
2024-01-01 00:00:00,Canada,3885197
2024-01-01 00:00:00,Newfoundland and Labrador,176243
2024-01-01 00:00:00,Nova Scotia,0
2024-01-01 00:00:00,New Brunswick,238958
2024-01-01 00:00:00,Quebec,938677
2024-01-01 00:00:00,Ontario,1519062
2024-01-01 00:00:00,Manitoba,288847
2024-01-01 00:00:00,Saskatchewan,53381
2024-01-01 00:00:00,Alberta,53110
2024-01-01 00:00:00,British Columbia,616919
2024-02-01 00:00:00,Canada,2648921
2024-02-01 00:00:00,Newfoundland and Labrador,163075
2024-02-01 00:00:00,Nova Scotia,0
2024-02-01 00:00:00,New Brunswick,247804
2024-02-01 00:00:00,Quebec,604861
2024-02-01 00:00:00,Ontario,979560
2024-02-01 00:00:00,Manitoba,264640
2024-02-01 00:00:00,Saskatchewan,16292
2024-02-01 00:00:00,Alberta,20034
2024-02-01 00:00:00,British Columbia,352655
2024-03-01 00:00:00,Canada,1988498
2024-03-01 00:00:00,Newfoundland and Labrador,187206
2024-03-01 00:00:00,Nova Scotia,0
2024-03-01 00:00:00,New Brunswick,244068
2024-03-01 00:00:00,Quebec,299893
2024-03-01 00:00:00,Ontario,558275
2024-03-01 00:00:00,Manitoba,270816
2024-03-01 00:00:00,Saskatchewan,18580
2024-03-01 00:00:00,Alberta,6744
2024-03-01 00:00:00,British Columbia,402916
2024-04-01 00:00:00,Canada,1667215
2024-04-01 00:00:00,Newfoundland and Labrador,182900
2024-04-01 00:00:00,Nova Scotia,0
2024-04-01 00:00:00,New Brunswick,213763
2024-04-01 00:00:00,Quebec,193815
2024-04-01 00:00:00,Ontario,687311
2024-04-01 00:00:00,Manitoba,277116
2024-04-01 00:00:00,Saskatchewan,8745
2024-04-01 00:00:00,Alberta,6822
2024-04-01 00:00:00,British Columbia,96743
2024-05-01 00:00:00,Canada,1933693
2024-05-01 00:00:00,Newfoundland and Labrador,188372
2024-05-01 00:00:00,Nova Scotia,0
2024-05-01 00:00:00,New Brunswick,157638
2024-05-01 00:00:00,Quebec,195955
2024-05-01 00:00:00,Ontario,756065
2024-05-01 00:00:00,Manitoba,356199
2024-05-01 00:00:00,Saskatchewan,25975
2024-05-01 00:00:00,Alberta,21632
2024-05-01 00:00:00,British Columbia,231857
2024-06-01 00:00:00,Canada,3543381
2024-06-01 00:00:00,Newfoundland and Labrador,150687
2024-06-01 00:00:00,Nova Scotia,0
2024-06-01 00:00:00,New Brunswick,161256
2024-06-01 00:00:00,Quebec,835114
2024-06-01 00:00:00,Ontario,923668
2024-06-01 00:00:00,Manitoba,714916
2024-06-01 00:00:00,Saskatchewan,30993
2024-06-01 00:00:00,Alberta,25535
2024-06-01 00:00:00,British Columbia,701212
2024-07-01 00:00:00,Canada,4807398
2024-07-01 00:00:00,Newfoundland and Labrador,159975
2024-07-01 00:00:00,Nova Scotia,0
2024-07-01 00:00:00,New Brunswick,165675
2024-07-01 00:00:00,Quebec,1259156
2024-07-01 00:00:00,Ontario,1313448
2024-07-01 00:00:00,Manitoba,785252
2024-07-01 00:00:00,Saskatchewan,34042
2024-07-01 00:00:00,Alberta,67039
2024-07-01 00:00:00,British Columbia,1022811
2024-08-01 00:00:00,Canada,3708087
2024-08-01 00:00:00,Newfoundland and Labrador,168539
2024-08-01 00:00:00,Nova Scotia,0
2024-08-01 00:00:00,New Brunswick,151191
2024-08-01 00:00:00,Quebec,556092
2024-08-01 00:00:00,Ontario,1050187
2024-08-01 00:00:00,Manitoba,884677
2024-08-01 00:00:00,Saskatchewan,33965
2024-08-01 00:00:00,Alberta,63627
2024-08-01 00:00:00,British Columbia,799809
2024-09-01 00:00:00,Canada,3314634
2024-09-01 00:00:00,Newfoundland and Labrador,177294
2024-09-01 00:00:00,Nova Scotia,0
2024-09-01 00:00:00,New Brunswick,150505
2024-09-01 00:00:00,Quebec,166717
2024-09-01 00:00:00,Ontario,1110732
2024-09-01 00:00:00,Manitoba,796511
2024-09-01 00:00:00,Saskatchewan,52165
2024-09-01 00:00:00,Alberta,47157
2024-09-01 00:00:00,British Columbia,813553
2024-10-01 00:00:00,Canada,2680851
2024-10-01 00:00:00,Newfoundland and Labrador,91752
2024-10-01 00:00:00,Nova Scotia,0
2024-10-01 00:00:00,New Brunswick,186113
2024-10-01 00:00:00,Quebec,148584
2024-10-01 00:00:00,Ontario,983327
2024-10-01 00:00:00,Manitoba,671071
2024-10-01 00:00:00,Saskatchewan,55105
2024-10-01 00:00:00,Alberta,26205
2024-10-01 00:00:00,British Columbia,518694
2024-11-01 00:00:00,Canada,2153486
2024-11-01 00:00:00,Newfoundland and Labrador,92798
2024-11-01 00:00:00,Nova Scotia,0
2024-11-01 00:00:00,New Brunswick,154273
2024-11-01 00:00:00,Quebec,134537
2024-11-01 00:00:00,Ontario,980539
2024-11-01 00:00:00,Manitoba,372717
2024-11-01 00:00:00,Saskatchewan,45310
2024-11-01 00:00:00,Alberta,35333
2024-11-01 00:00:00,British Columbia,337979
2024-12-01 00:00:00,Canada,3446944
2024-12-01 00:00:00,Newfoundland and Labrador,90721
2024-12-01 00:00:00,Nova Scotia,0
2024-12-01 00:00:00,New Brunswick,181509
2024-12-01 00:00:00,Quebec,605070
2024-12-01 00:00:00,Ontario,1620121
2024-12-01 00:00:00,Manitoba,308511
2024-12-01 00:00:00,Saskatchewan,90010
2024-12-01 00:00:00,Alberta,147226
2024-12-01 00:00:00,British Columbia,403776
2025-01-01 00:00:00,Canada,4770778
2025-01-01 00:00:00,Newfoundland and Labrador,99121
2025-01-01 00:00:00,Nova Scotia,0
2025-01-01 00:00:00,New Brunswick,238826
2025-01-01 00:00:00,Quebec,1383281
2025-01-01 00:00:00,Ontario,1971288
2025-01-01 00:00:00,Manitoba,308618
2025-01-01 00:00:00,Saskatchewan,64155
2025-01-01 00:00:00,Alberta,147838
2025-01-01 00:00:00,British Columbia,557651
2025-02-01 00:00:00,Canada,3483589
2025-02-01 00:00:00,Newfoundland and Labrador,74459
2025-02-01 00:00:00,Nova Scotia,0
2025-02-01 00:00:00,New Brunswick,235991
2025-02-01 00:00:00,Quebec,1066450
2025-02-01 00:00:00,Ontario,1309484
2025-02-01 00:00:00,Manitoba,275923
2025-02-01 00:00:00,Saskatchewan,74257
2025-02-01 00:00:00,Alberta,46154
2025-02-01 00:00:00,British Columbia,400871
2025-03-01 00:00:00,Canada,2049949
2025-03-01 00:00:00,Newfoundland and Labrador,107225
2025-03-01 00:00:00,Nova Scotia,0
2025-03-01 00:00:00,New Brunswick,204757
2025-03-01 00:00:00,Quebec,172625
2025-03-01 00:00:00,Ontario,800111
2025-03-01 00:00:00,Manitoba,352040
2025-03-01 00:00:00,Saskatchewan,30644
2025-03-01 00:00:00,Alberta,38490
2025-03-01 00:00:00,British Columbia,344057
2025-04-01 00:00:00,Canada,2580415
2025-04-01 00:00:00,Newfoundland and Labrador,95208
2025-04-01 00:00:00,Nova Scotia,0
2025-04-01 00:00:00,New Brunswick,184019
2025-04-01 00:00:00,Quebec,277888
2025-04-01 00:00:00,Ontario,1192619
2025-04-01 00:00:00,Manitoba,436399
2025-04-01 00:00:00,Saskatchewan,75961
2025-04-01 00:00:00,Alberta,43819
2025-04-01 00:00:00,British Columbia,274502
2025-05-01 00:00:00,Canada,2693592
2025-05-01 00:00:00,Newfoundland and Labrador,61377
2025-05-01 00:00:00,Nova Scotia,0
2025-05-01 00:00:00,New Brunswick,189087
2025-05-01 00:00:00,Quebec,20290
2025-05-01 00:00:00,Ontario,1411238
2025-05-01 00:00:00,Manitoba,513096
2025-05-01 00:00:00,Saskatchewan,72005
2025-05-01 00:00:00,Alberta,25691
2025-05-01 00:00:00,British Columbia,400808
2025-06-01 00:00:00,Canada,2766504
2025-06-01 00:00:00,Newfoundland and Labrador,102622
2025-06-01 00:00:00,Nova Scotia,0
2025-06-01 00:00:00,New Brunswick,177926
2025-06-01 00:00:00,Quebec,225128
2025-06-01 00:00:00,Ontario,1149772
2025-06-01 00:00:00,Manitoba,354664
2025-06-01 00:00:00,Saskatchewan,122801
2025-06-01 00:00:00,Alberta,42592
2025-06-01 00:00:00,British Columbia,590999
2025-07-01 00:00:00,Canada,3331346
2025-07-01 00:00:00,Newfoundland and Labrador,158857
2025-07-01 00:00:00,Nova Scotia,0
2025-07-01 00:00:00,New Brunswick,169489
2025-07-01 00:00:00,Quebec,439582
2025-07-01 00:00:00,Ontario,1111902
2025-07-01 00:00:00,Manitoba,282773
2025-07-01 00:00:00,Saskatchewan,142869
2025-07-01 00:00:00,Alberta,160731
2025-07-01 00:00:00,British Columbia,865143
2025-08-01 00:00:00,Canada,2533180
2025-08-01 00:00:00,Newfoundland and Labrador,43310
2025-08-01 00:00:00,Nova Scotia,0
2025-08-01 00:00:00,New Brunswick,131875
2025-08-01 00:00:00,Quebec,162988
2025-08-01 00:00:00,Ontario,589582
2025-08-01 00:00:00,Manitoba,252382
2025-08-01 00:00:00,Saskatchewan,251031
2025-08-01 00:00:00,Alberta,160463
2025-08-01 00:00:00,British Columbia,941549
2025-09-01 00:00:00,Canada,2361124
2025-09-01 00:00:00,Newfoundland and Labrador,40504
2025-09-01 00:00:00,Nova Scotia,0
2025-09-01 00:00:00,New Brunswick,119867
2025-09-01 00:00:00,Quebec,127745
2025-09-01 00:00:00,Ontario,602760
2025-09-01 00:00:00,Manitoba,167405
2025-09-01 00:00:00,Saskatchewan,185621
2025-09-01 00:00:00,Alberta,79187
2025-09-01 00:00:00,British Columbia,1038035
2025-10-01 00:00:00,Canada,1897375
2025-10-01 00:00:00,Newfoundland and Labrador,33786
2025-10-01 00:00:00,Nova Scotia,0
2025-10-01 00:00:00,New Brunswick,142815
2025-10-01 00:00:00,Quebec,130024
2025-10-01 00:00:00,Ontario,738834
2025-10-01 00:00:00,Manitoba,185569
2025-10-01 00:00:00,Saskatchewan,110440
2025-10-01 00:00:00,Alberta,101302
2025-10-01 00:00:00,British Columbia,454605
2025-11-01 00:00:00,Canada,1346458
2025-11-01 00:00:00,Newfoundland and Labrador,40508
2025-11-01 00:00:00,Nova Scotia,0
2025-11-01 00:00:00,New Brunswick,120492
2025-11-01 00:00:00,Quebec,76030
2025-11-01 00:00:00,Ontario,420020
2025-11-01 00:00:00,Manitoba,168036
2025-11-01 00:00:00,Saskatchewan,88515
2025-11-01 00:00:00,Alberta,72314
2025-11-01 00:00:00,British Columbia,360543
